,open,close,close_open
361,2022-10-18 14:20:03,2022-10-19 02:07:46,0 days 11:47:43
362,2022-10-19 18:44:57,2022-10-19 22:54:12,0 days 04:09:15
363,2022-10-21 16:13:47,2022-10-21 16:31:01,0 days 00:17:14
364,2022-10-21 18:44:31,2022-10-21 18:51:09,0 days 00:06:38
365,2022-10-21 19:26:34,2022-10-22 02:23:30,0 days 06:56:56
366,2022-10-22 14:15:34,2022-10-22 17:16:11,0 days 03:00:37
367,2022-10-22 17:42:00,2022-10-23 02:00:38,0 days 08:18:38
368,2022-10-24 17:20:45,2022-10-25 02:41:25,0 days 09:20:40
369,2022-10-25 22:17:57,2022-10-26 02:19:21,0 days 04:01:24
370,2022-10-29 18:50:22,2022-10-30 02:46:11,0 days 07:55:49
371,2022-10-30 14:53:20,2022-10-30 19:36:49,0 days 04:43:29
372,2022-10-30 20:19:41,2022-10-30 21:11:53,0 days 00:52:12
373,2022-10-30 22:25:04,2022-10-30 22:52:41,0 days 00:27:37
374,2022-11-01 00:37:26,2022-11-01 02:42:02,0 days 02:04:36
375,2022-11-01 14:07:37,2022-11-01 18:13:09,0 days 04:05:32
376,2022-11-01 18:25:47,2022-11-02 00:52:46,0 days 06:26:59
377,2022-11-03 23:49:13,2022-11-04 02:07:30,0 days 02:18:17
378,2022-11-06 14:24:59,2022-11-06 14:56:09,0 days 00:31:10
379,2022-11-06 15:02:58,2022-11-06 15:27:52,0 days 00:24:54
380,2022-11-06 16:52:04,2022-11-07 03:19:32,0 days 10:27:28
381,2022-11-07 13:58:13,2022-11-08 03:14:13,0 days 13:16:00
382,2022-11-08 14:09:16,2022-11-09 02:51:08,0 days 12:41:52
383,2022-11-10 15:27:46,2022-11-10 15:56:30,0 days 00:28:44
384,2022-11-10 16:25:41,2022-11-10 18:17:45,0 days 01:52:04
